id,distance,weight
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[64] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],873,1
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.ImplementationMethodDescriptor$Builder method=publicMethod methodDesc=()Lcom/google/auto/factory/processor/ImplementationMethodDescriptor$Builder;] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],151,11
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[81] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],561,1
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoFactoryProcessor method=lambda$doProcess$0 methodDesc=(Lcom/google/auto/factory/processor/FactoryWriter;Lcom/google/common/collect/ImmutableSetMultimap;Lcom/google/auto/factory/processor/PackageAndClass;Ljava/util/Collection;)V] indexes=[39] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],141,4
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[99] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],87,14
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.FactoryWriter method=addConstructorAndProviderFields methodDesc=(Lcom/squareup/javapoet/TypeSpec$Builder;Lcom/google/auto/factory/processor/FactoryDescriptor;)V] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],129,13
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[103] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],157,3
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AnnotationValues$3 method=visitArray methodDesc=(Ljava/util/List;Ljava/lang/Void;)Lcom/google/common/collect/ImmutableList;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],119,5
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_ImplementationMethodDescriptor$Builder method=isVarArgs methodDesc=(Z)Lcom/google/auto/factory/processor/ImplementationMethodDescriptor$Builder;] indexes=[10] mutator=org.pitest.mutationtest.engine.gregor.mutators.NullReturnValsMutator],24,41
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=name methodDesc=()Lcom/google/auto/factory/processor/PackageAndClass;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],152,35
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryMethodDescriptor method=hashCode methodDesc=()I] indexes=[79] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],57,13
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryMethodDescriptor method=publicMethod methodDesc=()Z] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.BooleanTrueReturnValsMutator],21,36
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryMethodDescriptor method=hashCode methodDesc=()I] indexes=[36] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR2Mutator],45,23
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryMethodDescriptor method=toString methodDesc=()Ljava/lang/String;] indexes=[59] mutator=org.pitest.mutationtest.engine.gregor.mutators.EmptyObjectReturnValsMutator],19,7
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryMethodDescriptor method=toString methodDesc=()Ljava/lang/String;] indexes=[57] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],85,53
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryMethodDescriptor method=toString methodDesc=()Ljava/lang/String;] indexes=[30] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],69,14
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.FactoryDescriptor method=lambda$create$0 methodDesc=(Lcom/google/common/collect/ImmutableMap$Builder;Lcom/google/auto/factory/processor/FactoryDescriptor$UniqueNameSet;Lcom/google/auto/factory/processor/Key;Ljava/util/Collection;)V] indexes=[69] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],63,7
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=toString methodDesc=()Ljava/lang/String;] indexes=[32] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],89,53
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.FactoryWriter method=isTypeUseAnnotation methodDesc=(Ljavax/lang/model/element/AnnotationMirror;)Z] indexes=[26] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],72,12
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=hashCode methodDesc=()I] indexes=[85] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR4Mutator],26,57
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_Parameter method=hashCode methodDesc=()I] indexes=[51] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR2Mutator],4,93
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_Parameter method=hashCode methodDesc=()I] indexes=[51] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOD2Mutator],28,21
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryMethodDescriptor method=equals methodDesc=(Ljava/lang/Object;)Z] indexes=[97] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],35,22
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_Key method=hashCode methodDesc=()I] indexes=[35] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI4Mutator],15,69
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=hashCode methodDesc=()I] indexes=[99] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR2Mutator],34,9
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_Key method=hashCode methodDesc=()I] indexes=[22] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR2Mutator],10,39
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_Parameter method=hashCode methodDesc=()I] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOD1Mutator],5,15
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.FactoryWriter method=addCheckNotNullMethod methodDesc=(Lcom/squareup/javapoet/TypeSpec$Builder;Lcom/google/auto/factory/processor/FactoryDescriptor;)V] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],41,5
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.Mirrors method=getQualifiedName methodDesc=(Ljavax/lang/model/type/DeclaredType;)Ljavax/lang/model/element/Name;] indexes=[7] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],65,6
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.FactoryWriter method=addFactoryMethods methodDesc=(Lcom/squareup/javapoet/TypeSpec$Builder;Lcom/google/auto/factory/processor/FactoryDescriptor;Lcom/google/common/collect/ImmutableSet;)V] indexes=[118] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],62,23
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.Elements2 method=getConstructors methodDesc=(Ljavax/lang/model/element/TypeElement;)Lcom/google/common/collect/ImmutableSet;] indexes=[11] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],29,7
