id,distance,weight
MutationIdentifier [location=Location [clazz=com.google.auto.value.extension.memoized.processor.MemoizeExtension$Generator$MethodOverrider method=<init> methodDesc=(Lcom/google/auto/value/extension/memoized/processor/MemoizeExtension$Generator;Ljavax/lang/model/element/ExecutableElement;)V] indexes=[119] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],150,16
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.AutoValueProcessor method=lambda$extensionsFromLoader$0 methodDesc=(Lcom/google/auto/value/extension/AutoValueExtension;)Z] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],25,24
MutationIdentifier [location=Location [clazz=com.google.auto.value.extension.toprettystring.processor.ToPrettyStringExtension$ToPrettyStringImplementation method=create methodDesc=(Lcom/google/auto/value/extension/AutoValueExtension$Context;)Lcom/google/auto/value/extension/toprettystring/processor/ToPrettyStringExtension$ToPrettyStringImplementation;] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],186,4
MutationIdentifier [location=Location [clazz=com.google.auto.value.extension.serializable.serializer.impl.ImmutableListSerializerExtension$ImmutableListSerializer method=proxyFieldType methodDesc=()Ljavax/lang/model/type/TypeMirror;] indexes=[37] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],153,67
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.AutoValueProcessor method=prefixedGettersIn methodDesc=(Ljava/lang/Iterable;)Lcom/google/common/collect/ImmutableSet;] indexes=[61] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],92,82
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.TypeEncoder$EncodingTypeVisitor method=appendTypeName methodDesc=(Ljavax/lang/model/type/DeclaredType;Ljava/lang/StringBuilder;)V] indexes=[11] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],69,22
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.GwtSerialization$Property method=getGwtCast methodDesc=()Ljava/lang/String;] indexes=[12] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],12,23
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.TypeVariables method=canAssignStaticMethodResult methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/type/TypeMirror;Ljavax/lang/model/type/TypeMirror;Ljavax/lang/model/util/Types;)Z] indexes=[7] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],3407,1
MutationIdentifier [location=Location [clazz=com.google.auto.value.extension.serializable.serializer.impl.ImmutableMapSerializerExtension method=getSerializer methodDesc=(Ljavax/lang/model/type/TypeMirror;Lcom/google/auto/value/extension/serializable/serializer/interfaces/SerializerFactory;Ljavax/annotation/processing/ProcessingEnvironment;)Ljava/util/Optional;] indexes=[40] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],7,69
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.TypeVariables method=canAssignStaticMethodResult methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/type/TypeMirror;Ljavax/lang/model/type/TypeMirror;Ljavax/lang/model/util/Types;)Z] indexes=[14] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],3159,1
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.AutoAnnotationProcessor method=getMemberMethods methodDesc=(Ljavax/lang/model/element/TypeElement;)Lcom/google/common/collect/ImmutableMap;] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],91,28
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.Reformatter method=fixup methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[26] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR3Mutator],62,87
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.TypeVariables method=canAssignStaticMethodResult methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/type/TypeMirror;Ljavax/lang/model/type/TypeMirror;Ljavax/lang/model/util/Types;)Z] indexes=[21] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],3002,1
MutationIdentifier [location=Location [clazz=com.google.auto.value.extension.serializable.serializer.impl.ImmutableListSerializerExtension$ImmutableListSerializer method=proxyFieldType methodDesc=()Ljavax/lang/model/type/TypeMirror;] indexes=[10] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],126,42
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.AutoAnnotationProcessor$Member method=isArrayOfClassWithBounds methodDesc=()Z] indexes=[11] mutator=org.pitest.mutationtest.engine.gregor.mutators.BooleanTrueReturnValsMutator],21,118
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.TypeEncoder$EncodingTypeVisitor method=appendTypeName methodDesc=(Ljavax/lang/model/type/DeclaredType;Ljava/lang/StringBuilder;)V] indexes=[28] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],95,20
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.TypeVariables method=canAssignStaticMethodResult methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/type/TypeMirror;Ljavax/lang/model/type/TypeMirror;Ljavax/lang/model/util/Types;)Z] indexes=[39] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],86,29
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.TypeVariables method=canAssignStaticMethodResult methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/type/TypeMirror;Ljavax/lang/model/type/TypeMirror;Ljavax/lang/model/util/Types;)Z] indexes=[47] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],2548,1
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.TypeEncoder$AnnotatedEncodingTypeVisitor method=lambda$appendAnnotationsWithExclusions$0 methodDesc=(Ljavax/lang/model/element/AnnotationMirror;)Z] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],26,20
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.TypeVariables method=canAssignStaticMethodResult methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/type/TypeMirror;Ljavax/lang/model/type/TypeMirror;Ljavax/lang/model/util/Types;)Z] indexes=[83] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],113,21
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.Reformatter method=fixup methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],45,64
