id,mutOperator,opcode,returnType,localVarsCount,isInTryCatch,isInFinalBlock,className,methodName,blockNumber,lineNumber
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=getPath methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[7] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],NonVoidMethodCallMutator,182,none,1,1,1,com.google.auto.service.processor.ServicesFiles,getPath,1,48
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=getPath methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],NonVoidMethodCallMutator,182,none,1,1,1,com.google.auto.service.processor.ServicesFiles,getPath,2,48
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=getPath methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[10] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],NonVoidMethodCallMutator,182,none,1,1,1,com.google.auto.service.processor.ServicesFiles,getPath,3,48
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=getPath methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[11] mutator=org.pitest.mutationtest.engine.gregor.mutators.EmptyObjectReturnValsMutator],EmptyObjectReturnValsMutator,176,none,1,1,1,com.google.auto.service.processor.ServicesFiles,getPath,4,48
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=getPath methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],ConstructorCallMutator,183,none,1,1,1,com.google.auto.service.processor.ServicesFiles,getPath,0,48
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=getPath methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[7] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],NakedReceiverMutator,182,none,1,1,1,com.google.auto.service.processor.ServicesFiles,getPath,1,48
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=getPath methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],NakedReceiverMutator,182,none,1,1,1,com.google.auto.service.processor.ServicesFiles,getPath,2,48
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=getPath methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[11] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],ReturnValsMutator,176,none,1,1,1,com.google.auto.service.processor.ServicesFiles,getPath,4,48
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=readServiceFile methodDesc=(Ljava/io/InputStream;)Ljava/util/Set;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],ConstructorCallMutator,183,L,7,0,1,com.google.auto.service.processor.ServicesFiles,readServiceFile,0,59
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=readServiceFile methodDesc=(Ljava/io/InputStream;)Ljava/util/Set;] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],NonVoidMethodCallMutator,184,L,7,0,1,com.google.auto.service.processor.ServicesFiles,readServiceFile,1,60
