seed,reduction,score,acc_avg,acc_min,acc_max
66304.0,0.5,0.6652975250131649,0.9475332912073676,0.5,1.0
66304.0,0.75,0.6654379497981394,0.9759174311926604,0.5,1.0
16389.0,0.5,0.6667017728629103,0.9475332912073676,0.5,1.0
16389.0,0.75,0.6714060031595577,0.9759174311926604,0.5,1.0
91254.0,0.5,0.6704230296647359,0.9475332912073676,0.5,1.0
91254.0,0.75,0.6654379497981394,0.9759174311926604,0.5,1.0
49890.0,0.5,0.6692996313849394,0.9475332912073676,0.5,1.0
49890.0,0.75,0.6714060031595577,0.9759174311926604,0.5,1.0
86054.0,0.5,0.667123047217834,0.9475332912073676,0.5,1.0
86054.0,0.75,0.6654379497981394,0.9759174311926604,0.5,1.0
55284.0,0.5,0.6704230296647359,0.9475332912073676,0.5,1.0
55284.0,0.75,0.6654379497981394,0.9759174311926604,0.5,1.0
77324.0,0.5,0.6725996138318413,0.9475332912073676,0.5,1.0
77324.0,0.75,0.6714060031595577,0.9759174311926604,0.5,1.0
36147.0,0.5,0.663542215200983,0.9475332912073676,0.5,1.0
36147.0,0.75,0.6654379497981394,0.9759174311926604,0.5,1.0
13506.0,0.5,0.663542215200983,0.9475332912073676,0.5,1.0
13506.0,0.75,0.6654379497981394,0.9759174311926604,0.5,1.0
73920.0,0.5,0.6722485518694049,0.9475332912073676,0.5,1.0
73920.0,0.75,0.6714060031595577,0.9759174311926604,0.5,1.0
80157.0,0.5,0.6699666491135685,0.9475332912073676,0.5,1.0
80157.0,0.75,0.6714060031595577,0.9759174311926604,0.5,1.0
43981.0,0.5,0.6685975074600667,0.9475332912073676,0.5,1.0
43981.0,0.75,0.6714060031595577,0.9759174311926604,0.5,1.0
75358.0,0.5,0.663050728453572,0.9475332912073676,0.5,1.0
75358.0,0.75,0.6654379497981394,0.9759174311926604,0.5,1.0
33399.0,0.5,0.6711251535896086,0.9475332912073676,0.5,1.0
33399.0,0.75,0.6654379497981394,0.9759174311926604,0.5,1.0
56134.0,0.5,0.6707740916271722,0.9475332912073676,0.5,1.0
56134.0,0.75,0.6654379497981394,0.9759174311926604,0.5,1.0
13388.0,0.5,0.6685975074600667,0.9475332912073676,0.5,1.0
13388.0,0.75,0.6714060031595577,0.9759174311926604,0.5,1.0
81617.0,0.5,0.663542215200983,0.9475332912073676,0.5,1.0
81617.0,0.75,0.6654379497981394,0.9759174311926604,0.5,1.0
90957.0,0.5,0.6725996138318413,0.9475332912073676,0.5,1.0
90957.0,0.75,0.6714060031595577,0.9759174311926604,0.5,1.0
52113.0,0.5,0.669826224328594,0.9475332912073676,0.5,1.0
52113.0,0.75,0.6714060031595577,0.9759174311926604,0.5,1.0
20428.0,0.5,0.6649113568544848,0.9475332912073676,0.5,1.0
20428.0,0.75,0.6654379497981394,0.9759174311926604,0.5,1.0
26482.0,0.5,0.6682464454976303,0.9475332912073676,0.5,1.0
26482.0,0.75,0.6654379497981394,0.9759174311926604,0.5,1.0
56340.0,0.5,0.6687379322450413,0.9475332912073676,0.5,1.0
56340.0,0.75,0.6714060031595577,0.9759174311926604,0.5,1.0
31018.0,0.5,0.6722485518694049,0.9475332912073676,0.5,1.0
