seed,reduction,score,acc_avg,acc_min,acc_max
66304.0,0.5,0.780250347705146,0.9418729717199826,0.5,1.0
66304.0,0.75,0.7917941585535466,0.966808826256258,0.5,1.0
16389.0,0.5,0.8070931849791377,0.9418729717199826,0.5,1.0
16389.0,0.75,0.790125173852573,0.966808826256258,0.5,1.0
91254.0,0.5,0.8009735744089013,0.9418729717199826,0.5,1.0
91254.0,0.75,0.7917941585535466,0.966808826256258,0.5,1.0
49890.0,0.5,0.7812239221140473,0.9418729717199826,0.5,1.0
49890.0,0.75,0.790125173852573,0.966808826256258,0.5,1.0
86054.0,0.5,0.7974965229485397,0.9418729717199826,0.5,1.0
86054.0,0.75,0.7917941585535466,0.966808826256258,0.5,1.0
55284.0,0.5,0.8009735744089013,0.9418729717199826,0.5,1.0
55284.0,0.75,0.7917941585535466,0.966808826256258,0.5,1.0
77324.0,0.5,0.8013908205841447,0.9418729717199826,0.5,1.0
77324.0,0.75,0.790125173852573,0.966808826256258,0.5,1.0
36147.0,0.5,0.7954102920723227,0.9418729717199826,0.5,1.0
36147.0,0.75,0.7917941585535466,0.966808826256258,0.5,1.0
13506.0,0.5,0.7954102920723227,0.9418729717199826,0.5,1.0
13506.0,0.75,0.7917941585535466,0.966808826256258,0.5,1.0
73920.0,0.5,0.794297635605007,0.9418729717199826,0.5,1.0
73920.0,0.75,0.790125173852573,0.966808826256258,0.5,1.0
80157.0,0.5,0.7908205841446453,0.9418729717199826,0.5,1.0
80157.0,0.75,0.790125173852573,0.966808826256258,0.5,1.0
43981.0,0.5,0.7984700973574409,0.9418729717199826,0.5,1.0
43981.0,0.75,0.790125173852573,0.966808826256258,0.5,1.0
75358.0,0.5,0.802086230876217,0.9418729717199826,0.5,1.0
75358.0,0.75,0.7917941585535466,0.966808826256258,0.5,1.0
33399.0,0.5,0.7867872044506259,0.9418729717199826,0.5,1.0
33399.0,0.75,0.7917941585535466,0.966808826256258,0.5,1.0
56134.0,0.5,0.7874826147426982,0.9418729717199826,0.5,1.0
56134.0,0.75,0.7917941585535466,0.966808826256258,0.5,1.0
13388.0,0.5,0.7984700973574409,0.9418729717199826,0.5,1.0
13388.0,0.75,0.790125173852573,0.966808826256258,0.5,1.0
81617.0,0.5,0.7954102920723227,0.9418729717199826,0.5,1.0
81617.0,0.75,0.7917941585535466,0.966808826256258,0.5,1.0
90957.0,0.5,0.7936022253129347,0.9418729717199826,0.5,1.0
90957.0,0.75,0.790125173852573,0.966808826256258,0.5,1.0
52113.0,0.5,0.7840055632823366,0.9418729717199826,0.5,1.0
52113.0,0.75,0.790125173852573,0.966808826256258,0.5,1.0
20428.0,0.5,0.7819193324061197,0.9418729717199826,0.5,1.0
20428.0,0.75,0.7917941585535466,0.966808826256258,0.5,1.0
