id,distance,weight
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.DefaultParser method=handleConcatenatedOptions methodDesc=(Ljava/lang/String;)V] indexes=[75] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],62,57
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.HelpFormatter method=setDescPadding methodDesc=(I)V] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],61,82
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.DefaultParser method=handleToken methodDesc=(Ljava/lang/String;)V] indexes=[10] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ROR5Mutator],2,824
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.Option method=acceptsArg methodDesc=()Z] indexes=[32] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],57,25
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.Option method=hasArg methodDesc=()Z] indexes=[19] mutator=org.pitest.mutationtest.engine.gregor.mutators.BooleanTrueReturnValsMutator],21,63
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PatternOptionBuilder method=isValueCode methodDesc=(C)Z] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],311,1
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PatternOptionBuilder method=isValueCode methodDesc=(C)Z] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],280,1
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PatternOptionBuilder method=isValueCode methodDesc=(C)Z] indexes=[11] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],249,1
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PatternOptionBuilder method=isValueCode methodDesc=(C)Z] indexes=[14] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],218,1
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.HelpFormatter method=renderWrappedText methodDesc=(Ljava/lang/StringBuffer;IILjava/lang/String;)Ljava/lang/StringBuffer;] indexes=[25] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],187,3
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.TypeHandler method=createObject methodDesc=(Ljava/lang/String;)Ljava/lang/Object;] indexes=[33] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],156,8
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PatternOptionBuilder method=isValueCode methodDesc=(C)Z] indexes=[23] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],125,5
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.DefaultParser method=handleShortAndLongOption methodDesc=(Ljava/lang/String;)V] indexes=[154] mutator=org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator],94,15
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PatternOptionBuilder method=isValueCode methodDesc=(C)Z] indexes=[20] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],11,36
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.GnuParser method=flatten methodDesc=(Lorg/apache/commons/cli/Options;[Ljava/lang/String;Z)[Ljava/lang/String;] indexes=[95] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR2Mutator],27,41
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PatternOptionBuilder method=parsePattern methodDesc=(Ljava/lang/String;)Lorg/apache/commons/cli/Options;] indexes=[81] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR5Mutator],31,87
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PatternOptionBuilder method=parsePattern methodDesc=(Ljava/lang/String;)Lorg/apache/commons/cli/Options;] indexes=[124] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR1Mutator],32,57
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.Parser method=processOption methodDesc=(Ljava/lang/String;Ljava/util/ListIterator;)V] indexes=[45] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],51,13
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PatternOptionBuilder method=parsePattern methodDesc=(Ljava/lang/String;)Lorg/apache/commons/cli/Options;] indexes=[28] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_ORDER_ELSE],1285,1
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.DefaultParser method=handleShortAndLongOption methodDesc=(Ljava/lang/String;)V] indexes=[131] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR2Mutator],7,237
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.DefaultParser method=handleShortAndLongOption methodDesc=(Ljava/lang/String;)V] indexes=[178] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],38,18
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PatternOptionBuilder method=parsePattern methodDesc=(Ljava/lang/String;)Lorg/apache/commons/cli/Options;] indexes=[28] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_ORDER_IF],885,1
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.Options method=<init> methodDesc=()V] indexes=[24] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],40,29
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.Parser method=setOptions methodDesc=(Lorg/apache/commons/cli/Options;)V] indexes=[14] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],69,11
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.HelpFormatter method=printHelp methodDesc=(Ljava/io/PrintWriter;ILjava/lang/String;Ljava/lang/String;Lorg/apache/commons/cli/Options;IILjava/lang/String;Z)V] indexes=[67] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],238,4
