project,seed,clusters,score,acc_avg,acc_min,acc_max
google-auto-service,33399,17,0.0,1.0,1,1.0
google-auto-common,33399,31,0.2222222222222222,0.6284910084810226,0.5135135135135135,0.7727272727272727
scribejava-core,33399,32,0.36782608695652175,0.7701039665050468,0.5333333333333333,1.0
google-auto-factory,33399,22,0.3676092544987147,0.5965877680358527,0.5147058823529411,0.6909090909090909
commons-csv,33399,32,0.7800289435600579,0.8335169130619152,0.5833333333333334,0.9230769230769231
commons-cli,33399,26,0.7086230876216968,0.8212126991068243,0.7108433734939759,0.9090909090909091
google-auto-value,33399,41,0.6385074626865672,0.6221750295602729,0.5384615384615384,1.0
gson,33399,40,0.5466034755134281,0.5950361006527166,0.5238095238095238,0.75
commons-io,33399,40,0.7012391005048187,0.5816951682813966,0.5,1.0
commons-text,33399,55,0.7627345844504021,0.7899511155062622,0.7142857142857143,1.0
commonc-codec,33399,17,0.733144786059666,0.7757155602563783,0.7476851851851852,0.79768177028451
commons-lang,33399,28,0.6595926241976774,0.7705373912837271,0.7458167330677291,0.7940074906367042
jfreechart,33399,28,0.17183423854937346,0.7415514546530696,0.7251028806584362,0.7638067061143984
jodatime,33399,25,0.7150077588117933,0.6461427299061147,0.5976027397260274,0.7093023255813954
zxing,33399,28,0.7870347920960117,0.832139912454925,0.8091603053435115,0.8626465661641541
