project,seed,clusters,score,acc_avg,acc_min,acc_max
google-auto-service,31018,17,0.0,1.0,1,1.0
google-auto-common,31018,31,0.446360153256705,0.611347307910286,0.5,0.7391304347826086
scribejava-core,31018,32,0.2991304347826087,0.7590848279675486,0.5294117647058824,0.8780487804878049
google-auto-factory,31018,22,0.46786632390745503,0.5903546251654208,0.5106382978723404,0.7169811320754716
commons-csv,31018,32,0.7735166425470333,0.8345180910385154,0.6976744186046512,0.9411764705882353
commons-cli,31018,26,0.8817802503477051,0.8237236222731533,0.7083333333333334,1.0
google-auto-value,31018,41,0.5325373134328358,0.6239244017404069,0.5324675324675324,1.0
gson,31018,40,0.7435492364402317,0.5892825824148401,0.5121951219512195,0.686046511627907
commons-io,31018,40,0.48726480036714087,0.5694962283125132,0.5,0.6421052631578947
commons-text,31018,55,0.6967415962054032,0.780088527874451,0.6153846153846154,0.8571428571428571
commonc-codec,31018,17,0.8441748015691999,0.7759154317364051,0.7448132780082988,0.8108581436077058
commons-lang,31018,28,0.5597150595481023,0.7711035046234672,0.7255400254129606,0.8072033898305084
jfreechart,31018,28,0.34590657030036065,0.7414573064340481,0.7257318952234206,0.7653679653679654
jodatime,31018,25,0.5931722456218134,0.6484751098519587,0.6104972375690608,0.694
zxing,31018,28,0.9055340041217117,0.8304349552708523,0.8158148505303761,0.8534136546184738
