project,seed,clusters,score,acc_avg,acc_min,acc_max
google-auto-service,81617,17,0.0,1.0,1,1.0
google-auto-common,81617,31,0.38122605363984674,0.6275961396312626,0.5,0.8888888888888888
scribejava-core,81617,32,0.20608695652173914,0.776374049136442,0.6428571428571429,1.0
google-auto-factory,81617,22,0.26135389888603255,0.5844653697942832,0.5074626865671642,0.6785714285714286
commons-csv,81617,32,0.894356005788712,0.8340839822797358,0.7333333333333333,0.9259259259259259
commons-cli,81617,26,0.8567454798331016,0.8131523052535297,0.6666666666666666,1.0
google-auto-value,81617,41,0.682089552238806,0.616886350873089,0.5135135135135135,0.8048780487804879
gson,81617,40,0.7026505178163946,0.6105555913121403,0.504424778761062,1.0
commons-io,81617,40,0.666590178981184,0.5675313334777952,0.5035971223021583,0.632183908045977
commons-text,81617,55,0.6917921220870282,0.77856416769786,0.5,1.0
commonc-codec,81617,17,0.9011951464282456,0.7783884001613478,0.7438524590163934,0.8057921635434412
commons-lang,81617,28,0.8133046414128298,0.766723049910596,0.7357798165137615,0.7956852791878173
jfreechart,81617,28,0.23401616559038618,0.7382228436274554,0.7111111111111111,0.7556719022687609
jodatime,81617,25,0.5780979827089338,0.6459655782107905,0.6165413533834586,0.6804835924006909
zxing,81617,28,0.9513274336283186,0.8311173668494556,0.7980952380952381,0.8595271210013908
