project,seed,clusters,score,acc_avg,acc_min,acc_max
google-auto-service,73920,17,0.0,1.0,1,1.0
google-auto-common,73920,31,0.33045977011494254,0.6479312107633034,0.5,1.0
scribejava-core,73920,32,0.31043478260869567,0.770022003012281,0.6521739130434783,0.8823529411764706
google-auto-factory,73920,22,0.6349614395886889,0.5926843788740045,0.5094339622641509,0.7236842105263158
commons-csv,73920,32,0.8285094066570188,0.8498716244851272,0.7083333333333334,1.0
commons-cli,73920,26,0.8623087621696801,0.809930324148652,0.5217391304347826,0.9032258064516129
google-auto-value,73920,41,0.5704477611940298,0.6193385747563065,0.5053763440860215,1.0
gson,73920,40,0.607161664033702,0.5888670921092658,0.5,0.6776859504132231
commons-io,73920,40,0.4072969251950436,0.5699631574272509,0.5045045045045045,0.7272727272727273
commons-text,73920,55,0.9363786347700557,0.7808354655577459,0.5833333333333334,0.9166666666666666
commonc-codec,73920,17,0.7649849466289572,0.7792888643053586,0.7482758620689656,0.8181818181818182
commons-lang,73920,28,0.8631321188735948,0.7707521305960944,0.7389885807504079,0.8333333333333334
jfreechart,73920,28,0.15779269839912186,0.7420217710502308,0.7205067300079177,0.7627906976744186
jodatime,73920,25,0.7780093105741521,0.6463454978422734,0.5951219512195122,0.6749206349206349
zxing,73920,28,0.6256212874287792,0.8312927965908411,0.7907692307692308,0.8545454545454545
