project,seed,clusters,score,acc_avg,acc_min,acc_max
google-auto-service,13067,17,0.0,1.0,1,1.0
google-auto-common,13067,31,0.39655172413793105,0.6187074135244193,0.5,0.875
scribejava-core,13067,32,0.32,0.7670037734756888,0.5,1.0
google-auto-factory,13067,22,0.8003427592116538,0.5805452433821789,0.5,0.6949152542372882
commons-csv,13067,32,0.8162083936324168,0.8233539659054869,0.6666666666666666,0.900990099009901
commons-cli,13067,26,0.7086230876216968,0.8185390770598966,0.7307692307692307,0.9
google-auto-value,13067,41,0.7364179104477612,0.6097909940733185,0.5151515151515151,0.75
gson,13067,40,0.31349833245567843,0.5933342041698684,0.5,1.0
commons-io,13067,40,0.7403625516291877,0.5798476494321717,0.5172413793103449,1.0
commons-text,13067,55,0.7117962466487936,0.7848551513317961,0.6666666666666666,0.8846153846153846
commonc-codec,13067,17,0.9037496578779308,0.7781536888556969,0.7404580152671756,0.8347578347578347
commons-lang,13067,28,0.5388639483545431,0.7714060779635625,0.7505307855626328,0.7981530343007915
jfreechart,13067,28,0.13940327018204107,0.7419921408787485,0.7215081405312768,0.76985559566787
jodatime,13067,25,0.6405231655952117,0.6494814114175614,0.6209677419354839,0.6817359855334539
zxing,13067,28,0.8334040489756334,0.8318364697746414,0.8098471986417657,0.8579234972677595
