project,seed,clusters,score,acc_avg,acc_min,acc_max
google-auto-service,13388,17,0.0,1.0,1,1.0
google-auto-common,13388,31,0.2739463601532567,0.6339125864697833,0.5,1.0
scribejava-core,13388,32,0.13391304347826086,0.7560097058043178,0.6,0.8837209302325582
google-auto-factory,13388,22,0.4207369323050557,0.5841954953900665,0.5,0.675
commons-csv,13388,32,0.7510853835021708,0.8253255266619025,0.6363636363636364,0.9583333333333334
commons-cli,13388,26,0.9221140472878998,0.8162143806999074,0.7346938775510204,0.9117647058823529
google-auto-value,13388,41,0.528955223880597,0.6200187832598218,0.5,1.0
gson,13388,40,0.5639810426540285,0.592278736124027,0.5196850393700787,0.7777777777777778
commons-io,13388,40,0.26319412574575496,0.5785661605956693,0.5097087378640777,1.0
commons-text,13388,55,0.7725304186430192,0.7790563986677534,0.5952380952380952,1.0
commonc-codec,13388,17,0.8574947541282729,0.7758897134261625,0.7368421052631579,0.8161993769470405
commons-lang,13388,28,0.7708603865988943,0.7760590618234615,0.7382413087934561,0.9545454545454546
jfreechart,13388,28,0.4988381872870604,0.7409239775303551,0.726404800872886,0.7549019607843137
jodatime,13388,25,0.7280425626246952,0.6490498687447807,0.6210526315789474,0.6981519507186859
zxing,13388,28,0.8583767729421748,0.8312909338207434,0.7993311036789298,0.8620689655172413
