project,seed,clusters,score,acc_avg,acc_min,acc_max
google-auto-service,14706,17,0.0,1.0,1,1.0
google-auto-common,14706,31,0.20019157088122605,0.6372516655711651,0.5,1.0
scribejava-core,14706,32,0.14695652173913043,0.772538450698794,0.625,1.0
google-auto-factory,14706,22,0.6923736075407027,0.5944524119581739,0.5,0.7105263157894737
commons-csv,14706,32,0.8639652677279306,0.8403882796575599,0.6818181818181818,1.0
commons-cli,14706,26,0.9269819193324061,0.820609732890041,0.6962025316455697,0.9375
google-auto-value,14706,41,0.42656716417910445,0.6098223925899915,0.5081967213114754,0.7291666666666666
gson,14706,40,0.6563103387747937,0.5867165020046549,0.5,0.7380952380952381
commons-io,14706,40,0.41027994492886644,0.5729549916080572,0.5025380710659898,0.6782608695652174
commons-text,14706,55,0.7161270365023716,0.7730508414672713,0.631578947368421,0.9047619047619048
commonc-codec,14706,17,0.6018611440561993,0.777569951325777,0.7487179487179487,0.8115384615384615
commons-lang,14706,28,0.6166289466849701,0.7695060222703977,0.743202416918429,0.798932384341637
jfreechart,14706,28,0.2923491425394517,0.7422482971654473,0.7243460764587525,0.7701612903225806
jodatime,14706,25,0.4767457326535136,0.647499482387853,0.6145648312611013,0.6818181818181818
zxing,14706,28,0.7148139168384047,0.8309121758736583,0.8149882903981265,0.8577494692144374
