project,seed,clusters,score,acc_avg,acc_min,acc_max
google-auto-service,68282,17,0.0,1.0,1,1.0
google-auto-common,68282,31,0.5162835249042146,0.6300853378810124,0.5151515151515151,0.8
scribejava-core,68282,32,0.09217391304347826,0.7669511715122155,0.5769230769230769,1.0
google-auto-factory,68282,22,0.43359040274207367,0.5861769003575467,0.5094339622641509,0.6808510638297872
commons-csv,68282,32,0.8133140376266281,0.8277759565333377,0.64,0.9142857142857143
commons-cli,68282,26,0.9360222531293463,0.8102141585825622,0.6190476190476191,0.9772727272727273
google-auto-value,68282,41,0.5770149253731344,0.6245272308518038,0.5,1.0
gson,68282,40,0.7544321572757592,0.5989573151993184,0.5084745762711864,1.0
commons-io,68282,40,0.5365993575034419,0.5736925271406712,0.5263157894736842,0.6608695652173913
commons-text,68282,55,0.8438853371829244,0.7727476025652449,0.5,1.0
commonc-codec,68282,17,0.750478970896816,0.7769660065862434,0.7478260869565218,0.8087954110898662
commons-lang,68282,28,0.670760212221274,0.7688100984473129,0.734789391575663,0.8089887640449438
jfreechart,68282,28,0.377496471795749,0.7410274917733496,0.7206175298804781,0.7562088190572732
jodatime,68282,25,0.839946796719131,0.6464728025888102,0.5957727873183619,0.6808510638297872
zxing,68282,28,0.8073705903745909,0.8310657643153085,0.8015873015873016,0.8551181102362204
