project,seed,clusters,score,acc_avg,acc_min,acc_max
google-auto-service,33399,17,0.0,1.0,1,1.0
google-auto-common,33399,31,0.3793103448275862,0.6186428688592335,0.5,0.7727272727272727
scribejava-core,33399,32,0.2234782608695652,0.7721280824379548,0.6153846153846154,1.0
google-auto-factory,33399,22,0.3787489288774636,0.5944862289174906,0.509090909090909,0.6981132075471698
commons-csv,33399,32,0.7655571635311144,0.8331606610308633,0.6666666666666666,1.0
commons-cli,33399,26,0.8442280945757997,0.8211389258524174,0.7058823529411765,1.0
google-auto-value,33399,41,0.7128358208955224,0.6100924314360798,0.5,1.0
gson,33399,40,0.5687203791469194,0.5880117981961299,0.5,0.6854838709677419
commons-io,33399,40,0.5992427719137219,0.5708860107688717,0.5093167701863354,0.6492537313432836
commons-text,33399,55,0.5930088678077954,0.7877505776530902,0.6666666666666666,1.0
commonc-codec,33399,17,0.789435270504516,0.7758670098686024,0.7450980392156863,0.7955555555555556
commons-lang,33399,28,0.9700960931992728,0.7702475942192747,0.7417962003454232,0.7944444444444444
jfreechart,33399,28,0.401416983848665,0.741568209577659,0.7245796637309848,0.7628865979381443
jodatime,33399,25,0.6655287076036356,0.6472375119264333,0.6006884681583476,0.7164179104477612
zxing,33399,28,0.8476481997817917,0.831136498097303,0.809119830328738,0.8585757271815446
