project,seed,clusters,score,acc_avg,acc_min,acc_max
google-auto-service,56134,17,0.0,1.0,1,1.0
google-auto-common,56134,31,0.03639846743295019,0.6207012663637441,0.5,0.8636363636363636
scribejava-core,56134,32,0.3243478260869565,0.7703852779938231,0.6551724137931034,1.0
google-auto-factory,56134,22,0.47472150814053127,0.5872687826356117,0.5,0.8055555555555556
commons-csv,56134,32,0.6512301013024602,0.8338356552498973,0.7307692307692307,1.0
commons-cli,56134,26,0.9645340751043116,0.8174534567939696,0.7105263157894737,0.9361702127659575
google-auto-value,56134,41,0.575820895522388,0.603892268571839,0.5074626865671642,0.7446808510638298
gson,56134,40,0.46392838335966297,0.587975874076794,0.5056179775280899,0.75
commons-io,56134,40,0.5593162000917852,0.5695526908457497,0.5032258064516129,0.6588235294117647
commons-text,56134,55,0.8449164776242524,0.7762835154661666,0.5,1.0
commonc-codec,56134,17,0.8388833135662804,0.7795328300432699,0.7359900373599004,0.8045602605863192
commons-lang,56134,28,0.7865543724260751,0.7700418573153189,0.7416481069042317,0.7945823927765236
jfreechart,56134,28,0.24098704186802378,0.7373965613492685,0.6996466431095406,0.7587276958882855
jodatime,56134,25,0.7644424739525604,0.6482983331514284,0.62,0.6719367588932806
zxing,56134,28,0.8720450963753182,0.8300752019572569,0.805921052631579,0.874828060522696
