project,seed,clusters,score,acc_avg,acc_min,acc_max
google-auto-service,68282,17,0.0,1.0,1,1.0
google-auto-common,68282,31,0.6130268199233716,0.6212666918929244,0.5,0.7777777777777778
scribejava-core,68282,32,0.18608695652173912,0.7545206811891682,0.5555555555555556,0.9
google-auto-factory,68282,22,0.6169665809768637,0.5859754594599154,0.5106382978723404,0.7058823529411765
commons-csv,68282,32,0.886396526772793,0.8349930406567485,0.7,0.9655172413793104
commons-cli,68282,26,0.9554937413073713,0.8173320883258206,0.6666666666666666,0.9767441860465116
google-auto-value,68282,41,0.6546268656716417,0.6269706042385433,0.5094339622641509,1.0
gson,68282,40,0.47691767596980866,0.5890383667962238,0.5087719298245614,0.6851851851851852
commons-io,68282,40,0.4333409821018816,0.5780379107268041,0.5018315018315018,0.6833333333333333
commons-text,68282,55,0.9000824912353063,0.7709646535937832,0.5,0.8571428571428571
commonc-codec,68282,17,0.8616914515098988,0.7760031815752713,0.7620192307692307,0.8038632986627043
commons-lang,68282,28,0.6759544392089935,0.7692162874895955,0.7315541601255887,0.7993527508090615
jfreechart,68282,28,0.13693709104905272,0.7413138005966885,0.7208008898776418,0.7570584372948129
jodatime,68282,25,0.8250942141432055,0.6482922688295529,0.5955204216073782,0.6788990825688074
zxing,68282,28,0.8056431082555461,0.8303352254726623,0.8019323671497585,0.8573692551505546
