project,seed,clusters,score,acc_avg,acc_min,acc_max
google-auto-service,16389,17,0.0,1.0,1,1.0
google-auto-common,16389,31,0.46839080459770116,0.6463225923745017,0.52,1.0
scribejava-core,16389,32,0.15130434782608695,0.7721175664213468,0.5714285714285714,1.0
google-auto-factory,16389,22,0.49271636675235647,0.590096790682051,0.5135135135135135,0.84
commons-csv,16389,32,0.8668596237337193,0.8349600413656683,0.6206896551724138,1.0
commons-cli,16389,26,0.7329624478442281,0.8153280101215691,0.7096774193548387,0.9523809523809523
google-auto-value,16389,41,0.6268656716417911,0.6067821901388802,0.5,0.7692307692307693
gson,16389,40,0.5911883447428471,0.5876243854504364,0.5,0.7333333333333333
commons-io,16389,40,0.5489903625516291,0.5701847268322677,0.51,0.6736842105263158
commons-text,16389,55,0.6531243555372241,0.7797151388981183,0.5555555555555556,0.918918918918919
commonc-codec,16389,17,0.7462822735151903,0.7767310281862241,0.739946380697051,0.8060747663551402
commons-lang,16389,28,0.8364189515081809,0.7701584978991461,0.7430939226519337,0.792225201072386
jfreechart,16389,28,0.21839227929122296,0.7420601672102612,0.7236903106165972,0.7608200455580866
jodatime,16389,25,0.724318332963866,0.6447684245183929,0.6,0.6759199483537767
zxing,16389,28,0.6267426354709662,0.8299309389969753,0.7909407665505227,0.863080684596577
