project,seed,clusters,score,acc_avg,acc_min,acc_max
google-auto-service,81617,17,0.0,1.0,1,1.0
google-auto-common,81617,31,0.39176245210727967,0.6433811945772394,0.5,1.0
scribejava-core,81617,32,0.4017391304347826,0.7826490270557656,0.6511627906976745,1.0
google-auto-factory,81617,22,0.5038560411311054,0.5845996396061423,0.5081967213114754,0.6857142857142857
commons-csv,81617,32,0.877713458755427,0.8401386920081965,0.7272727272727273,0.90625
commons-cli,81617,26,0.8636995827538247,0.8136598969496105,0.65,1.0
google-auto-value,81617,41,0.5767164179104478,0.611930514301959,0.5,0.8571428571428571
gson,81617,40,0.5906617517991926,0.5876657198984732,0.5172413793103449,0.6868686868686869
commons-io,81617,40,0.6021110601193208,0.5787042584150124,0.5071428571428571,1.0
commons-text,81617,55,0.792843885337183,0.7872316331626906,0.6,1.0
commonc-codec,81617,17,0.6937323236930937,0.7787807046942696,0.7479871175523349,0.8067010309278351
commons-lang,81617,28,0.8397209958075168,0.7659253355151113,0.7284768211920529,0.7962025316455696
jfreechart,81617,28,0.29856448416941084,0.7384585971632733,0.7164948453608248,0.7547309833024118
jodatime,81617,25,0.6031478607847484,0.6461332474536206,0.6150943396226415,0.6794979079497908
zxing,81617,28,0.7794581161352891,0.8316767286440794,0.7969613259668509,0.8642857142857143
