project,seed,clusters,score,acc_avg,acc_min,acc_max
google-auto-service,26482,17,0.0,1.0,1,1.0
google-auto-common,26482,31,0.3160919540229885,0.6326955228931935,0.5,0.9
scribejava-core,26482,32,0.42086956521739133,0.7632920490171886,0.6,0.9302325581395349
google-auto-factory,26482,22,0.5604113110539846,0.5995379111377998,0.5,0.75
commons-csv,26482,32,0.9370477568740955,0.8224353463307045,0.5714285714285714,1.0
commons-cli,26482,26,0.6808066759388038,0.8104767182662627,0.7058823529411765,0.9333333333333333
google-auto-value,26482,41,0.5471641791044776,0.6282647630150272,0.5,1.0
gson,26482,40,0.3931893979287344,0.5928346319674699,0.5095541401273885,0.717948717948718
commons-io,26482,40,0.5322395594309316,0.5799494595285741,0.5046728971962616,1.0
commons-text,26482,55,0.637347906784904,0.7779893496762701,0.5,1.0
commonc-codec,26482,17,0.6826019523766079,0.7795403144633818,0.741514360313316,0.8214285714285714
commons-lang,26482,28,0.8004674804288947,0.7669242937981599,0.7394789579158316,0.7913135593220338
jfreechart,26482,28,0.05714978118005959,0.7431862895551946,0.7220843672456576,0.7925925925925926
jodatime,26482,25,0.6194635335845711,0.6456680191782995,0.6140350877192983,0.6706586826347305
zxing,26482,28,0.8245241847496666,0.8308668904365718,0.7956989247311828,0.8571428571428571
