project,seed,clusters,score,acc_avg,acc_min,acc_max
google-auto-service,56340,17,0.0,1.0,1,1.0
google-auto-common,56340,31,0.14655172413793102,0.6288303199233657,0.5,0.8
scribejava-core,56340,32,0.25130434782608696,0.7779954176002555,0.6136363636363636,1.0
google-auto-factory,56340,22,0.5998286203941731,0.6115576385930519,0.5079365079365079,1.0
commons-csv,56340,32,0.8726483357452967,0.8310363481535241,0.6666666666666666,0.95
commons-cli,56340,26,0.8337969401947148,0.817651908567128,0.7027027027027027,0.9230769230769231
google-auto-value,56340,41,0.7952238805970149,0.6207082659242346,0.5240641711229946,0.8
gson,56340,40,0.46111988766017203,0.6199176734475589,0.5299145299145299,1.0
commons-io,56340,40,0.6819642037631941,0.5726678194316953,0.5,0.6785714285714286
commons-text,56340,55,0.8657455145390802,0.7906159155397411,0.5,1.0
commonc-codec,56340,17,0.9587628865979382,0.7744120282359267,0.7440147329650092,0.8047337278106509
commons-lang,56340,28,0.7784291173524283,0.7683666152370202,0.7307692307692307,0.7969798657718121
jfreechart,56340,28,0.12959557513293132,0.7423236160850949,0.7270194986072424,0.757429718875502
jodatime,56340,25,0.5354910219463533,0.6471633081118449,0.6171284634760705,0.7053140096618358
zxing,56340,28,0.7824887865195781,0.8284573459786858,0.80440097799511,0.8469626168224299
