project,seed,clusters,score,acc_avg,acc_min,acc_max
google-auto-service,8339,17,0.0,1.0,1,1.0
google-auto-common,8339,31,0.4875478927203065,0.6299477913790333,0.5,1.0
scribejava-core,8339,32,0.12347826086956522,0.7561905100117066,0.5454545454545454,0.9333333333333333
google-auto-factory,8339,22,0.5766923736075407,0.5896633819384994,0.5,0.7142857142857143
commons-csv,8339,32,0.8632416787264834,0.8324928848971559,0.7142857142857143,0.9166666666666666
commons-cli,8339,26,0.8456189151599444,0.8063147436300482,0.5833333333333334,0.9166666666666666
google-auto-value,8339,41,0.3256716417910448,0.6400616405274799,0.5,1.0
gson,8339,40,0.7195014920133403,0.5918909610560273,0.5092592592592593,0.8
commons-io,8339,40,0.4762505736576411,0.5654050314357453,0.5,0.6410256410256411
commons-text,8339,55,0.768818313054238,0.7808706479867048,0.6666666666666666,0.9473684210526315
commonc-codec,8339,17,0.7978286652677675,0.7770576745856538,0.7476851851851852,0.8303571428571429
commons-lang,8339,28,0.7720847401031425,0.7714271883583874,0.7524339360222532,0.794435857805255
jfreechart,8339,28,0.21371651769804273,0.7408354049876912,0.7212504652028284,0.7719141323792487
jodatime,8339,25,0.8125914431389936,0.6502306411546115,0.6020583190394511,0.7045454545454546
zxing,8339,28,0.8937446963268275,0.8329239423520132,0.8004115226337448,0.8549222797927462
