project,seed,clusters,score,acc_avg,acc_min,acc_max
google-auto-service,66304,17,0.0,1.0,1,1.0
google-auto-common,66304,31,0.5038314176245211,0.6288429963035903,0.5,0.8181818181818182
scribejava-core,66304,32,0.1956521739130435,0.7818810154405481,0.5714285714285714,1.0
google-auto-factory,66304,22,0.6632390745501285,0.5965309270700728,0.5128205128205128,0.8461538461538461
commons-csv,66304,32,0.8516642547033285,0.8363613167890717,0.6666666666666666,1.0
commons-cli,66304,26,0.7670375521557719,0.8304205803348496,0.7540983606557377,1.0
google-auto-value,66304,41,0.47044776119402987,0.6039363550807959,0.5,0.75
gson,66304,40,0.5560821484992101,0.6028558951332882,0.5031446540880503,1.0
commons-io,66304,40,0.4794630564479119,0.5826815684461564,0.5064102564102564,0.7777777777777778
commons-text,66304,55,0.6775623839967003,0.783242728197816,0.5833333333333334,1.0
commonc-codec,66304,17,0.5629960770002737,0.7763130061762235,0.7521865889212828,0.7941176470588235
commons-lang,66304,28,0.6113976180759099,0.7685345379135535,0.73992673992674,0.7948717948717948
jfreechart,66304,28,0.3811458466977434,0.7411024851528821,0.7170818505338078,0.7569847127042699
jodatime,66304,25,0.7026823320771448,0.6475465279811466,0.6261682242990654,0.6906005221932114
zxing,66304,28,0.6400472784579949,0.8321870030880157,0.8078141499472017,0.853448275862069
