project,seed,clusters,score,acc_avg,acc_min,acc_max
google-auto-service,73920,17,0.0,1.0,1,1.0
google-auto-common,73920,31,0.5038314176245211,0.6266787044219992,0.5,0.8095238095238095
scribejava-core,73920,32,0.2408695652173913,0.7741434769428346,0.5714285714285714,1.0
google-auto-factory,73920,22,0.6983718937446444,0.5958323992962493,0.5,0.72
commons-csv,73920,32,0.7351664254703328,0.8426376545373225,0.7121212121212122,1.0
commons-cli,73920,26,0.8678720445062587,0.8165177827818103,0.52,0.9333333333333333
google-auto-value,73920,41,0.6976119402985075,0.6039564341997145,0.5,0.75
gson,73920,40,0.5817096717570651,0.5988978079147419,0.5076923076923077,0.7857142857142857
commons-io,73920,40,0.33455713630105555,0.5667465091474289,0.5038167938931297,0.6163522012578616
commons-text,73920,55,0.7745926995256754,0.783822625037721,0.6666666666666666,1.0
commonc-codec,73920,17,0.7775750387738345,0.780317910455825,0.7403651115618661,0.8193384223918575
commons-lang,73920,28,0.7399176344006233,0.7696710382064392,0.739344262295082,0.8121827411167513
jfreechart,73920,28,0.23167828479379607,0.7422358398842486,0.7175815433571997,0.7589703588143526
jodatime,73920,25,0.34710707160274884,0.6448879603204053,0.5917874396135265,0.6811926605504587
zxing,73920,28,0.8825312159049582,0.8308712109440343,0.8012519561815337,0.8592132505175983
