project,seed,clusters,score,acc_avg,acc_min,acc_max
google-auto-service,80157,17,0.0,1.0,1,1.0
google-auto-common,80157,31,0.06800766283524905,0.6259654418285897,0.5142857142857142,0.8181818181818182
scribejava-core,80157,32,0.2373913043478261,0.7676136760230868,0.631578947368421,0.9583333333333334
google-auto-factory,80157,22,0.5492716366752356,0.5758457001182792,0.5121951219512195,0.6521739130434783
commons-csv,80157,32,0.841534008683068,0.836220465748635,0.68,1.0
commons-cli,80157,26,0.6891515994436718,0.8176506474214384,0.7391304347826086,0.9285714285714286
google-auto-value,80157,41,0.6629850746268656,0.6273217399077363,0.5,1.0
gson,80157,40,0.6994909601544672,0.587505971245078,0.5161290322580645,0.7777777777777778
commons-io,80157,40,0.6607388710417623,0.5679974707319125,0.5070422535211268,0.6153846153846154
commons-text,80157,55,0.7422148896679728,0.7754072324008501,0.6,0.9375
commonc-codec,80157,17,0.9462640270048354,0.7770930598426015,0.76,0.7929724596391263
commons-lang,80157,28,0.7728267725299596,0.7720717074162666,0.7492447129909365,0.8042635658914729
jfreechart,80157,28,0.191278564199062,0.7444056764819915,0.7279735682819384,0.7645161290322581
jodatime,80157,25,0.7050321436488584,0.6446117261368057,0.6096096096096096,0.6909090909090909
zxing,80157,28,0.8756212874287792,0.8294072162205017,0.7843511450381679,0.8531375166889186
