project,seed,clusters,score,acc_avg,acc_min,acc_max
google-auto-service,125894,17,0.0,1.0,1,1.0
google-auto-common,125894,31,0.4425287356321839,0.6254183763831554,0.5,0.8095238095238095
scribejava-core,125894,32,0.23565217391304347,0.7706339296293427,0.6206896551724138,1.0
google-auto-factory,125894,22,0.6692373607540703,0.5976088447374515,0.5,0.7777777777777778
commons-csv,125894,32,0.7366136034732272,0.8467166730189574,0.7254901960784313,1.0
commons-cli,125894,26,0.9082058414464534,0.8144254798473372,0.7307692307692307,0.918918918918919
google-auto-value,125894,41,0.39671641791044776,0.6144866831271368,0.52,0.8
gson,125894,40,0.5638055116728102,0.5987368207360889,0.5,1.0
commons-io,125894,40,0.515488756310234,0.5670657470848296,0.5080645161290323,0.6513409961685823
commons-text,125894,55,0.7724273045988864,0.7801579880072904,0.5625,0.8672566371681416
commonc-codec,125894,17,0.8484627315026001,0.7796598492628907,0.7614613180515759,0.8225255972696246
commons-lang,125894,28,0.8242125180870404,0.7705604104319052,0.7394317394317395,0.7984031936127745
jfreechart,125894,28,0.17420063008738543,0.7409045255299965,0.7126969416126042,0.7714631197097944
jodatime,125894,25,0.5723786300155176,0.6458986470875803,0.5969827586206896,0.6841155234657039
zxing,125894,28,0.7764274457510001,0.8319594674579257,0.80623973727422,0.8493044822256569
