id,distance,weight
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=get methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[28] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],748,1
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.Token method=<init> methodDesc=()V] indexes=[15] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR6Mutator],8,60
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.ExtendedBufferedReader method=getCurrentLineNumber methodDesc=()J] indexes=[10] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ROR4Mutator],2,603
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.Lexer method=parseEncapsulatedToken methodDesc=(Lorg/apache/commons/csv/Token;)Lorg/apache/commons/csv/Token;] indexes=[162] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],72,23
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVParser method=nextRecord methodDesc=()Lorg/apache/commons/csv/CSVRecord;] indexes=[70] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],93,5
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVParser method=createHeaders methodDesc=()Lorg/apache/commons/csv/CSVParser$Headers;] indexes=[141] mutator=org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator],1,361
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVFormat method=toStringArray methodDesc=([Ljava/lang/Object;)[Ljava/lang/String;] indexes=[37] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],88,5
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.ExtendedBufferedReader method=read methodDesc=([CII)I] indexes=[21] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_ORDER_IF],164,2
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=putIn methodDesc=(Ljava/util/Map;)Ljava/util/Map;] indexes=[32] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],41,4
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.Lexer method=parseEncapsulatedToken methodDesc=(Lorg/apache/commons/csv/Token;)Lorg/apache/commons/csv/Token;] indexes=[133] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],58,34
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.IOUtils method=copy methodDesc=(Ljava/io/Reader;Ljava/lang/Appendable;)J] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],23,10
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVParser method=nextRecord methodDesc=()Lorg/apache/commons/csv/CSVRecord;] indexes=[45] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutator_0],111,8
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=getRecordNumber methodDesc=()J] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.PrimitiveReturnsMutator],22,14
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVFormat method=printWithEscapes methodDesc=(Ljava/io/Reader;Ljava/lang/Appendable;)V] indexes=[101] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR6Mutator],43,49
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVParser method=getRecords methodDesc=()Ljava/util/List;] indexes=[27] mutator=org.pitest.mutationtest.engine.gregor.mutators.EmptyObjectReturnValsMutator],76,22
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.ExtendedBufferedReader method=getCurrentLineNumber methodDesc=()J] indexes=[30] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR3Mutator],24,36
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.Lexer method=parseSimpleToken methodDesc=(Lorg/apache/commons/csv/Token;I)Lorg/apache/commons/csv/Token;] indexes=[122] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],180,2
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=getRecordNumber methodDesc=()J] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI4Mutator],106,17
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.Lexer method=readEscape methodDesc=()I] indexes=[55] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],26,4
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.Lexer method=isEndOfFile methodDesc=(I)Z] indexes=[13] mutator=org.pitest.mutationtest.engine.gregor.mutators.BooleanTrueReturnValsMutator],21,43
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=size methodDesc=()I] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],57,20
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.Lexer method=isDelimiter methodDesc=(I)Z] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],29,8
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVParser method=createHeaders methodDesc=()Lorg/apache/commons/csv/CSVParser$Headers;] indexes=[136] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],168,3
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVFormat method=<init> methodDesc=(CLjava/lang/Character;Lorg/apache/commons/csv/QuoteMode;Ljava/lang/Character;Ljava/lang/Character;ZZLjava/lang/String;Ljava/lang/String;[Ljava/lang/Object;[Ljava/lang/String;ZZZZZZZ)V] indexes=[44] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],59,6
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.ExtendedBufferedReader method=readLine methodDesc=()Ljava/lang/String;] indexes=[14] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],65,9
