seed,reduction,score,acc_avg,acc_min,acc_max
66304.0,0.5,0.5786549147346235,0.9634615033752952,0.5,1.0
66304.0,0.75,0.5960912052117264,0.9708386547466984,0.5,1.0
16389.0,0.5,0.6244491281854762,0.9634615033752952,0.5,1.0
16389.0,0.75,0.5985821038513125,0.9708386547466984,0.5,1.0
91254.0,0.5,0.5855527878904004,0.9634615033752952,0.5,1.0
91254.0,0.75,0.6035639011304847,0.9708386547466984,0.5,1.0
49890.0,0.5,0.5947499520981031,0.9634615033752952,0.5,1.0
49890.0,0.75,0.5957079900364054,0.9708386547466984,0.5,1.0
86054.0,0.5,0.6043303314811267,0.9634615033752952,0.5,1.0
86054.0,0.75,0.6006897873155777,0.9708386547466984,0.5,1.0
55284.0,0.5,0.5976240659130102,0.9634615033752952,0.5,1.0
55284.0,0.75,0.6035639011304847,0.9708386547466984,0.5,1.0
77324.0,0.5,0.5893849396436099,0.9634615033752952,0.5,1.0
77324.0,0.75,0.5957079900364054,0.9708386547466984,0.5,1.0
36147.0,0.5,0.6093121287602989,0.9634615033752952,0.5,1.0
36147.0,0.75,0.5960912052117264,0.9708386547466984,0.5,1.0
13506.0,0.5,0.5901513699942518,0.9634615033752952,0.5,1.0
13506.0,0.75,0.5960912052117264,0.9708386547466984,0.5,1.0
73920.0,0.5,0.5976240659130102,0.9634615033752952,0.5,1.0
73920.0,0.75,0.5985821038513125,0.9708386547466984,0.5,1.0
80157.0,0.5,0.5991569266142939,0.9634615033752952,0.5,1.0
80157.0,0.75,0.5985821038513125,0.9708386547466984,0.5,1.0
43981.0,0.5,0.6047135466564476,0.9634615033752952,0.5,1.0
43981.0,0.75,0.5957079900364054,0.9708386547466984,0.5,1.0
75358.0,0.5,0.6079708756466756,0.9634615033752952,0.5,1.0
75358.0,0.75,0.5960912052117264,0.9708386547466984,0.5,1.0
33399.0,0.5,0.5930254838091589,0.9634615033752952,0.5,1.0
33399.0,0.75,0.6006897873155777,0.9708386547466984,0.5,1.0
56134.0,0.5,0.6135274956888292,0.9634615033752952,0.5,1.0
56134.0,0.75,0.6006897873155777,0.9708386547466984,0.5,1.0
13388.0,0.5,0.6072044452960337,0.9634615033752952,0.5,1.0
13388.0,0.75,0.5957079900364054,0.9708386547466984,0.5,1.0
81617.0,0.5,0.5932170913968193,0.9634615033752952,0.5,1.0
81617.0,0.75,0.5960912052117264,0.9708386547466984,0.5,1.0
90957.0,0.5,0.5920674458708565,0.9634615033752952,0.5,1.0
