seed,reduction,score,acc_avg,acc_min,acc_max
66304.0,0.5,0.6589177528914999,0.9507549299016969,0.5,1.0
66304.0,0.75,0.6615568202680374,0.9733951410562388,0.5,1.0
16389.0,0.5,0.6631402606939599,0.9507549299016969,0.5,1.0
16389.0,0.75,0.6597668441343859,0.9733951410562388,0.5,1.0
91254.0,0.5,0.660592986965302,0.9507549299016969,0.5,1.0
91254.0,0.75,0.6615568202680374,0.9733951410562388,0.5,1.0
49890.0,0.5,0.6551312649164678,0.9507549299016969,0.5,1.0
49890.0,0.75,0.6597668441343859,0.9733951410562388,0.5,1.0
86054.0,0.5,0.6617174591518267,0.9507549299016969,0.5,1.0
86054.0,0.75,0.6615568202680374,0.9733951410562388,0.5,1.0
55284.0,0.5,0.660592986965302,0.9507549299016969,0.5,1.0
55284.0,0.75,0.6615568202680374,0.9733951410562388,0.5,1.0
77324.0,0.5,0.6613502845603084,0.9507549299016969,0.5,1.0
77324.0,0.75,0.6597668441343859,0.9733951410562388,0.5,1.0
36147.0,0.5,0.6615338718560676,0.9507549299016969,0.5,1.0
36147.0,0.75,0.6615568202680374,0.9733951410562388,0.5,1.0
13506.0,0.5,0.661648613915917,0.9507549299016969,0.5,1.0
13506.0,0.75,0.6615568202680374,0.9733951410562388,0.5,1.0
73920.0,0.5,0.6608913163209106,0.9507549299016969,0.5,1.0
73920.0,0.75,0.6597668441343859,0.9733951410562388,0.5,1.0
80157.0,0.5,0.6618092527997063,0.9507549299016969,0.5,1.0
80157.0,0.75,0.6597668441343859,0.9733951410562388,0.5,1.0
43981.0,0.5,0.6655727923627685,0.9507549299016969,0.5,1.0
43981.0,0.75,0.6597668441343859,0.9733951410562388,0.5,1.0
75358.0,0.5,0.662291169451074,0.9507549299016969,0.5,1.0
75358.0,0.75,0.6615568202680374,0.9733951410562388,0.5,1.0
33399.0,0.5,0.6590324949513494,0.9507549299016969,0.5,1.0
33399.0,0.75,0.6615568202680374,0.9733951410562388,0.5,1.0
56134.0,0.5,0.6553836974481366,0.9507549299016969,0.5,1.0
56134.0,0.75,0.6615568202680374,0.9733951410562388,0.5,1.0
13388.0,0.5,0.6660547090141362,0.9507549299016969,0.5,1.0
13388.0,0.75,0.6597668441343859,0.9733951410562388,0.5,1.0
81617.0,0.5,0.661648613915917,0.9507549299016969,0.5,1.0
81617.0,0.75,0.6615568202680374,0.9733951410562388,0.5,1.0
90957.0,0.5,0.663782816229117,0.9507549299016969,0.5,1.0
90957.0,0.75,0.6597668441343859,0.9733951410562388,0.5,1.0
52113.0,0.5,0.65889480447953,0.9507549299016969,0.5,1.0
52113.0,0.75,0.6597668441343859,0.9733951410562388,0.5,1.0
20428.0,0.5,0.6571048283458785,0.9507549299016969,0.5,1.0
20428.0,0.75,0.6615568202680374,0.9733951410562388,0.5,1.0
26482.0,0.5,0.6632779511657794,0.9507549299016969,0.5,1.0
26482.0,0.75,0.6615568202680374,0.9733951410562388,0.5,1.0
56340.0,0.5,0.6594455663668074,0.9507549299016969,0.5,1.0
56340.0,0.75,0.6597668441343859,0.9733951410562388,0.5,1.0
31018.0,0.5,0.6604552964934827,0.9507549299016969,0.5,1.0
31018.0,0.75,0.6597668441343859,0.9733951410562388,0.5,1.0
32067.0,0.5,0.6616945107398569,0.9507549299016969,0.5,1.0
32067.0,0.75,0.6597668441343859,0.9733951410562388,0.5,1.0
13067.0,0.5,0.6583899394161924,0.9507549299016969,0.5,1.0
13067.0,0.75,0.6615568202680374,0.9733951410562388,0.5,1.0
8339.0,0.5,0.660386451257573,0.9507549299016969,0.5,1.0
8339.0,0.75,0.6597668441343859,0.9733951410562388,0.5,1.0
49008.0,0.5,0.6613502845603084,0.9507549299016969,0.5,1.0
49008.0,0.75,0.6597668441343859,0.9733951410562388,0.5,1.0
14706.0,0.5,0.6546493482651,0.9507549299016969,0.5,1.0
14706.0,0.75,0.6597668441343859,0.9733951410562388,0.5,1.0
68282.0,0.5,0.6591242885992289,0.9507549299016969,0.5,1.0
68282.0,0.75,0.6615568202680374,0.9733951410562388,0.5,1.0
66304.0,0.25,0.660386451257573,0.9020210259300132,0.5,1.0
16389.0,0.25,0.6634156416375987,0.9020210259300132,0.5,1.0
91254.0,0.25,0.6582522489443731,0.9020210259300132,0.5,1.0
49890.0,0.25,0.6564852212226914,0.9020210259300132,0.5,1.0
86054.0,0.25,0.6683495502111254,0.9020210259300132,0.5,1.0
55284.0,0.25,0.6595144116027171,0.9020210259300132,0.5,1.0
77324.0,0.25,0.655704975215715,0.9020210259300132,0.5,1.0
36147.0,0.25,0.6616715623278869,0.9020210259300132,0.5,1.0
13506.0,0.25,0.6620157885074353,0.9020210259300132,0.5,1.0
73920.0,0.25,0.6568523958142096,0.9020210259300132,0.5,1.0
80157.0,0.25,0.660592986965302,0.9020210259300132,0.5,1.0
43981.0,0.25,0.6619928400954654,0.9020210259300132,0.5,1.0
75358.0,0.25,0.6569671378740591,0.9020210259300132,0.5,1.0
33399.0,0.25,0.6636680741692675,0.9020210259300132,0.5,1.0
56134.0,0.25,0.654465760969341,0.9020210259300132,0.5,1.0
13388.0,0.25,0.6717000183587296,0.9020210259300132,0.5,1.0
81617.0,0.25,0.6624747567468331,0.9020210259300132,0.5,1.0
